139,221863.14,125110.49,814.82,EG031
140,221866.24,125109.63,814.74,EG030
141,221866.53,125115.91,814.76,EG029
142,221875.47,125117,814.61,EG028
143,221874.63,125123.41,814.48,EG027
144,221894.65,125126.71,814.16,EG026
145,221895.6,125120.11,814.29,EG025
146,221896.92,125115.26,814.31,EG024
147,221901.91,125116.29,814.23,EG023
148,221901.91,125121.4,814.2,EG022
149,221923.51,125125.61,813.82,EG021
150,221924.47,125121.12,813.9,EG020
151,221927.91,125121.56,813.77,EG019
152,221928.4,125124.66,813.75,EG018
153,221929.55,125127.08,813.67,EG017
154,221950.92,125132.18,812.95,EG016
155,221949.61,125138.08,812.92,EG015
156,221979.13,125144.78,812.45,EG014
157,221970.62,125135.86,812.44,EG013
158,221981.95,125137.66,812.26,EG012
159,221983.5,125136.57,812.08,EG011
160,221982.72,125124.52,811.56,EG010
161,221987.05,125125.43,811.49,EG009
162,221989.03,125136.6,811.94,EG008
163,221991.51,125139.63,812.24,EG007
164,221997.99,125140.84,812.2,EG006
165,221991.05,125147.23,812.36,EG005
166,222022.44,125150.79,811.96,EG004
167,222022.81,125143.67,811.78,EG003
168,222048.78,125144.77,811.11,EG002
169,222048.19,125152.05,811.39,EG001
170,220895.243,125250.447,833.183,CC001
171,220894.804,125253.869,833.366,CC002
172,220886.817,125264.299,833.491,CC003
173,220881.231,125262.075,833.269,CC004
174,220882.28,125253.409,833.485,CC005
175,220881.148,125247.366,833.259,CC006
176,220869.909,125231.538,831.785,CC007
177,220858.794,125227.697,831.834,CC008
178,220849.061,125222.111,831.928,CC009
179,220835.261,125222.62,831.943,CC010
180,220824.391,125225.78,832.404,CC011
181,220808.496,125230.124,833.047,CC012
182,220808.651,125235.634,833.802,CC013
183,220831.925,125242.301,833.541,CC014
184,220849.784,125244.696,833.295,CC015
185,220860.678,125245.718,833.378,CC016
186,220858.957,125249.232,833.629,CC017
187,220855.004,125255.2,833.806,CC018
188,220841.324,125268.315,833.971,CC019
189,220821.978,125260.138,834.03,CC020
190,220809.804,125255.01,834.439,CC021
191,220794.869,125252.796,834.454,CC022
192,220780.219,125247.996,834.58,CC023
193,220780.499,125239.489,834.665,CC024
194,220803.967,125245.523,834.54,CC025
195,220837.838,125250.676,834.014,CC026
196,220837.531,125247.556,833.915,CC027
197,220816.927,125243.962,834.248,CC028
198,220780.385,125235.23,834.615,CC029
199,220753.633,125228.313,834.748,CC030
200,220727.371,125221.364,835.277,CC031
201,220726.189,125224.522,835.201,CC032
202,220725.828,125228.607,835.105,CC033
203,220724.254,125236.808,835.423,CC034
204,220740.554,125240.412,835.378,CC035
205,220755.077,125246.597,835.083,CC036
206,220760.124,125234.363,834.653,CC037
207,220728.672,125218.21,835.033,CC038
208,220729.336,125214.204,835.017,CC039
209,220733.074,125209.13,834.135,CC040
210,220748.747,125211,833.613,CC041
211,220769.501,125216.328,833.779,CC042
212,220796.12,125224.189,833.254,CC043
213,220790.611,125234.659,834.291,CC044
214,220757.045,125225.441,834.533,CC045
215,220711.049,125213.693,835.273,CC046
216,220692.784,125209.066,835.515,CC047
217,220668.401,125203.191,835.774,CC048
218,220672.348,125195.053,835.234,CC049
219,220686.207,125194.257,834.619,CC050
220,220717.483,125203.491,834.133,CC051
221,220716.296,125210.65,835.098,CC052
222,220716.78,125218.012,835.444,CC053
223,220714.273,125221.512,835.396,CC054
224,220712.024,125226.153,835.53,CC055
225,220706.553,125232.407,835.815,CC056
226,220688.46,125215.392,835.753,CC057
227,220688.073,125218.405,835.566,CC058
228,220675.223,125218.978,835.733,CC059
229,220671.688,125228.405,835.782,CC060
230,220644.119,125223.907,836.034,CC061
231,220624.361,125208.658,836.027,CC062
232,220627.45,125222.667,836.099,CC063
233,220646.23,125225.04,836.062,CC064
234,220657.715,125207.643,836.096,CC065
235,220634.615,125202.123,836.179,CC066
236,220616.418,125197.914,836.314,CC067
237,220617.372,125202.382,836.118,CC068
238,220584.629,125184.194,836.498,CC069
239,220575.495,125164.09,836,CC070
240,220602.855,125183.178,836.132,CC071
241,220617.493,125193.653,836.384,CC072
242,220628.475,125188.626,835.996,CC073
243,220652.318,125194.289,835.723,CC074
244,220666.753,125199.611,835.634,CC075
245,220667.798,125206.135,835.962,CC076
246,220647.451,125183.023,835.189,CC077
247,220686.27,125216.2,835.83,CO632
248,220678.25,125216.74,835.62,CO631
249,220669.79,125213.94,835.63,CO630
250,220663.65,125209.05,836.02,CO629
251,220645.28,125215.53,836.15,CO628
252,220643.57,125209.12,835.9,CO627
253,220630.61,125205.99,835.92,CO626
254,220624.12,125199.66,836.23,CO625
255,220606.43,125215.58,836.43,CO624
256,220624.33,125229.21,836.63,CO623
257,220627.18,125222.9,836.16,CO622
258,220651.21,125224.68,836.08,CO621
259,220675.73,125230.87,836.06,CO620
260,220685.48,125223.61,835.82,CO619
261,220688.12,125218.15,835.57,CO618
262,220688.07,125216.83,835.79,CO617
263,220703.97,125233.79,835.98,CO616
264,220711.08,125222.17,835.37,CO615
265,220732.36,125227.93,834.93,CO614
266,220733.34,125244.52,835.58,CO613
267,220750.45,125246.09,835.17,CO612
268,220757.65,125234.79,834.68,CO611
269,220781.91,125241.3,834.75,CO610
270,220778.83,125252.77,835.02,CO609
271,220803.4,125252.52,834.54,CO608
272,220587.92,125168.79,836.05,CO607
273,220584.16,125175.23,836.25,CO606
274,220605.53,125170.07,835.84,CO605
275,220603.62,125183.54,836.13,CO604
276,220602.88,125189.02,836.42,CO603
277,220603.28,125193.62,836.54,CO602
278,220626.07,125199.31,836.26,CO601
279,220627.98,125196.36,836.33,CO600
280,220628.68,125192.23,836.13,CO599
281,220629.8,125189.04,836.01,CO598
282,220632.12,125182.9,835.54,CO597
283,220636.99,125172.18,835.14,CO596
284,220657.41,125179.52,834.96,CO595
285,220653.91,125189.86,835.29,CO594
286,220653.11,125197.09,835.87,CO593
287,220652.76,125199.38,836.04,CO592
288,220652.61,125201.75,836.16,CO591
289,220651.87,125205.72,836.17,CO590
290,220672.37,125210.85,835.94,CO589
291,220673.71,125207.88,835.94,CO588
292,220674.66,125204.72,835.67,CO587
293,220679.61,125195.69,834.91,CO586
294,220684.68,125184.81,834.62,CO585
295,220711.33,125193.94,833.99,CO584
296,220708.28,125204.63,834.69,CO583
297,220707.63,125212.97,835.34,CO582
298,220707.22,125215.88,835.53,CO581
299,220707.15,125219.65,835.48,CO580
300,220728.78,125225.27,835.15,CO579
301,220729.33,125222.38,835.22,CO578
302,220730.31,125218.57,835.01,CO577
303,220731.54,125214.58,835.08,CO576
304,220732.45,125209.83,834.12,CO575
305,220751.56,125210.29,833.33,CO574
306,220750.53,125215.26,833.74,CO573
307,220750.05,125221.96,834.44,CO572
308,220750.04,125223.83,834.62,CO571
309,220780.1,125231.86,834.42,CO570
310,220788.47,125216.28,833.5,CO569
311,220808.49,125223.99,832.7,CO568
312,220814.29,125234.41,833.18,CO567
313,220815,125239.45,833.91,CO566
314,220815.08,125247.21,834.35,CO565
315,220816.12,125243.99,834.26,CO564
316,220816.96,125240.76,834.02,CO563
317,220821.13,125233.61,832.77,C0562
318,220831.15,125236.26,832.69,C0561
319,220833.4,125231.48,832.41,C0560
320,220842.41,125233.55,832.38,C0559
321,220857.66,125239.19,832.34,C0558
322,220881.01,125247.08,833.23,C0556
323,220881.21,125244.11,832.6,C0555
324,220881.13,125239.62,831.83,C0554
325,220862.79,125227.19,831.76,C0553
326,220878.83,125217.01,831.06,C0552
327,220882.49,125224.9,831.66,C0551
328,220887.49,125226.56,831.64,C0550
329,220891.4,125228.91,831.43,C0549
330,220900.38,125226.93,831.34,C0548
331,220901.49,125237.01,831.44,C0547
332,220899.55,125243.13,831.97,C0546
333,220899.21,125248.25,833.04,C0545
334,220930.33,125248.69,832.64,C0544
335,220930.71,125245.13,831.92,C0543
336,220931.23,125243.03,831.8,C0542
337,220931.06,125234.97,831.31,C0541
338,220930.76,125229.46,831.19,C0540
339,220954.46,125224.64,831.02,C0539
340,220955.61,125234.31,831.05,C0538
341,220956.18,125243.57,831.44,C0537
342,220955.64,125246.67,831.92,C0536
343,220955.54,125248.68,832.33,C0535
344,220984.05,125251.14,832.21,C0534
345,220985.07,125247.69,832.09,C0533
346,220985,125246.16,831.71,C0532
347,220985.13,125243.48,831.68,C0531
348,220979.45,125224.3,830.76,C0530
349,221000.04,125229.87,830.75,C0529
350,221003.04,125232.45,830.79,C0528
351,221008.53,125245.19,831.84,C0527
352,221008.58,125247.04,832.15,C0526
353,221009.27,125249.98,832.25,C0525
354,221028.52,125246.01,831.95,C0524
355,221028.39,125244.31,831.42,C0523
356,221028.17,125243.34,831.47,C0522
357,221029.09,125231.81,830.8,C0521
358,221028.81,125229.14,830.99,C0520
359,221045.4,125220.33,830.38,C0519
360,221041.84,125231.4,830.75,C0518
361,221044.03,125243.5,831.28,C0517
362,221044.42,125245.48,831.92,C0516
363,220857.68,125249.03,833.62,C0515
364,220871.66,125277.76,834.37,C0514
365,220867.96,125255.36,833.66,C0513
366,220869.61,125252.94,833.61,C0512
367,220870.22,125250.38,833.56,C0511
368,220895.72,125271.68,833.27,C0510
369,220894.03,125256.96,833.34,C0509
370,220893.76,125253.96,833.36,C0508
371,220893.42,125251.58,833.26,C0507
372,220924.48,125251.96,832.83,C0506
373,220924.36,125255.14,832.82,C0505
374,220924.3,125255.87,832.59,C0504
375,220924.27,125256.7,832.68,C0503
376,220924.85,125268.02,832.82,C0502
377,220939.25,125271.16,832.75,C0501
378,220938.14,125264.81,832.59,C0500
379,220940.58,125256.13,832.44,C0499
